,system_cost,co2_tax,onwind_DEUMWh,onwind_DEUMW,offwind_DEUMWh,offwind_DEUMW,pv_DEUMWh,pv_DEUMW,coal_DEUMWh,coal_DEUMW,ocgt_DEUMWh,ocgt_DEUMW,chp_el_DEUMWh,chp_el_DEUMW,h2_cell_DEUMWh,h2_cell_DEUMW,heatpump_DEUMWh,heatpump_DEUMW,chp_heat_DEUMWh,chp_heat_DEUMW,boiler_DEUMWh,boiler_DEUMW,resistive_DEUMWh,resistive_DEUMW,h2_heater_DEUMWh,h2_heater_DEUMW,electric_load_DEUMWh,battery_DEUMWh,battery_DEUMW,electrolyzer_DEUMWh,electrolyzer_DEUMW,resistive_heater_DEUMWh,resistive_heater_DEUMW,h2_tank_DEUMWh,h2_tank_DEUMW,onwind_DNKMWh,onwind_DNKMW,offwind_DNKMWh,offwind_DNKMW,pv_DNKMWh,pv_DNKMW,ocgt_DNKMWh,ocgt_DNKMW,chp_el_DNKMWh,chp_el_DNKMW,h2_cell_DNKMWh,h2_cell_DNKMW,heatpump_DNKMWh,heatpump_DNKMW,chp_heat_DNKMWh,chp_heat_DNKMW,boiler_DNKMWh,boiler_DNKMW,resistive_DNKMWh,resistive_DNKMW,h2_heater_DNKMWh,h2_heater_DNKMW,electric_load_DNKMWh,battery_DNKMWh,battery_DNKMW,electrolyzer_DNKMWh,electrolyzer_DNKMW,resistive_heater_DNKMWh,resistive_heater_DNKMW,h2_tank_DNKMWh,h2_tank_DNKMW,pv_AUTMWh,pv_AUTMW,ocgt_AUTMWh,ocgt_AUTMW,chp_el_AUTMWh,chp_el_AUTMW,h2_cell_AUTMWh,h2_cell_AUTMW,hydro_AUTMWh,hydro_AUTMW,heatpump_AUTMWh,heatpump_AUTMW,chp_heat_AUTMWh,chp_heat_AUTMW,boiler_AUTMWh,boiler_AUTMW,resistive_AUTMWh,resistive_AUTMW,h2_heater_AUTMWh,h2_heater_AUTMW,electric_load_AUTMWh,battery_AUTMWh,battery_AUTMW,electrolyzer_AUTMWh,electrolyzer_AUTMW,resistive_heater_AUTMWh,resistive_heater_AUTMW,h2_tank_AUTMWh,h2_tank_AUTMW
163,55296.34408999705,51.21466668747776,337723808.99889463,208235.26805993132,0.0,0.0,132823380.19821002,128863.15536691733,0.0,0.0,269942000.13113624,72899.14293192032,0.0,0.0,0.0,0.0,691506351.4449748,42528.807554,-0.0,0.0,117775692.36153547,153641.6812277407,8093600.502367669,8758.286183999997,-0.0,0.0,505264563.0,15172392.626629807,25003.860613408226,0.0,0.0,8093600.502367669,8758.286183999997,0.0,0.0,40629074.519454904,21809.646247890294,0.0,0.0,0.0,0.0,4553217.296651483,2824.7673254883957,0.0,0.0,0.0,0.0,42660506.815421,2595.962001,-0.0,0.0,5881638.829787648,12453.827206666667,5157581.659172345,2023.985501000001,-0.0,0.0,32813939.130000003,717088.4074212573,1192.0973965716453,0.0,0.0,5157581.659172345,2023.985501000001,0.0,0.0,82142214.70361918,77346.61427736451,3316031.4820657643,2482.8226692991584,0.0,0.0,0.0,0.0,19189419.284394242,31216.869178806588,70153450.04724568,4427.52698594849,-0.0,0.0,7345049.867519305,13687.444616772564,-0.0,0.0,-0.0,0.0,69617167.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,61178.53300062869,129.40717970016976,397832586.1713003,267425.9871741906,0.0,0.0,207237282.43610883,201383.16266148587,0.0,0.0,137006620.03502607,57839.86008004975,-36439338.10576273,17447.552260601846,0.0,0.0,692903785.0052093,46938.91928896487,36439338.10576273,17447.552260601846,61046374.1855025,120325.61493088628,26986147.012403447,19992.776791105378,-0.0,0.0,505264563.0,70634269.95114332,123733.08345249784,0.0,0.0,26986147.012403447,19992.776791105378,0.0,0.0,38581377.5815044,24719.494371934336,0.0,0.0,775702.0256193719,817.72749473612,3484491.6178018395,2767.9640235576876,0.0,0.0,0.0,0.0,43068938.11536425,2830.9307646666666,-0.0,0.0,4154972.606753361,12050.76898834025,6475816.58226338,1969.5470620000015,-0.0,0.0,32813939.130000003,1195824.338727083,2235.1673175254437,0.0,0.0,6475816.58226338,1969.5470620000015,0.0,0.0,71271964.94692793,67584.83631272316,4813799.593876979,3543.709414172963,0.0,0.0,0.0,0.0,19763025.329349242,26187.85501480153,73996571.87580757,5007.672783333333,-0.0,0.0,3386381.8333593872,10151.155467193215,115546.20559803724,285.1908910000002,-0.0,0.0,69617167.0,-0.0,0.0,0.0,0.0,115546.20559803724,285.1908910000002,0.0,0.0
50,69889.95602425133,274.63049558758314,406481832.8767499,293840.1776763147,0.0,0.0,293922127.7322296,288196.3624123408,0.0,0.0,11474542.921114005,15400.70152405047,-88194495.36483438,82248.9881388238,0.0,0.0,667545467.5464488,49545.59139867428,88194495.36483438,82248.9881388238,21964976.831516687,97233.34940572883,39670704.56607804,22093.468506977148,-0.0,0.0,505264563.0,135876387.3603889,245758.96212300987,0.0,0.0,39670704.56607804,22093.468506977148,0.0,0.0,35034281.87269086,27114.18768625825,0.0,0.0,2288177.857059816,2414.6037189446943,278653.77860973816,455.783708033818,-2565604.1619306,3501.378390517889,0.0,0.0,43235044.94083194,3042.7291954855305,2565604.1619306,3501.378390517889,1648965.544394476,10284.663170741076,6250112.657223988,1642.036904543409,-0.0,0.0,32813939.130000003,2140539.5817610696,4388.38351650554,0.0,0.0,6250112.657223988,1642.036904543409,0.0,0.0,61028192.39268514,57614.91798960691,0.0,0.0,-5685795.22299487,7646.665129435124,0.0,0.0,20401651.91981671,21553.934920137544,67967423.33597817,4441.920692055163,5685795.22299487,7646.665129435124,1421773.0283055136,5990.486355171946,2423508.327486452,3357.1761228345104,-0.0,0.0,69617167.0,-0.0,0.0,0.0,0.0,2423508.327486452,3357.1761228345104,0.0,0.0
25,81270.48549428613,740.1409354204501,384954397.2310785,345888.5863259725,0.0,0.0,402067749.4913695,415737.8570791029,0.0,0.0,0.0,0.0,-49811915.06914833,91652.97326744342,0.0,0.0,714968778.6029298,55698.60604565816,49811915.06914833,91652.97326744342,11584224.167492976,86122.56278785548,41010726.469306916,17612.449925025478,-0.0,0.0,505264563.0,210211481.89912665,384447.55659897043,0.0,0.0,41010726.469306916,17612.449925025478,0.0,0.0,25141417.65874827,32679.486694461146,0.0,0.0,4976086.722468368,5314.603943463502,42787.22510827108,181.30180130623341,-3251473.924768408,4945.779548936174,0.0,0.0,44835568.04060651,3372.273513666666,3251473.924768408,4945.779548936174,1094697.2055150243,9478.9232,4517988.133491051,1343.0795320000034,-0.0,0.0,32813939.130000003,3926069.9591289465,8306.441713949014,0.0,0.0,4517988.133491051,1343.0795320000034,0.0,0.0,82269963.22493964,93407.64023264969,0.0,0.0,-1866013.7608001514,3500.089715042701,0.0,0.0,1507951.0571678323,33134.88260115083,69988337.92409897,5583.656455666667,1866013.7608001514,3500.089715042701,459428.78653288446,14652.221665236118,5184719.443332999,1628.0476589999998,-0.0,0.0,69617167.0,-0.0,0.0,0.0,0.0,5184719.443332999,1628.0476589999998,0.0,0.0
10,101169.78798247909,2324.6976208096235,338492175.1982631,441465.69132249575,0.0,0.0,500723863.4052386,590412.6644271036,0.0,0.0,0.0,0.0,-21839926.324277963,85705.3012022414,0.0,0.0,750926570.2900779,64091.863159,21839926.324277963,85705.3012022414,2820895.796947754,45374.92625049953,41788251.89757422,15919.294185000006,-0.0,0.0,505264563.0,249334686.79112974,541464.0602581394,0.0,0.0,41788251.89757422,15919.294185000006,0.0,0.0,17232318.964624643,37933.3837699877,0.0,0.0,7792386.190510778,8672.325297646674,0.0,0.0,-1195856.4085222199,6942.256027692488,0.0,0.0,51185538.87242904,4091.4638247053413,1195856.4085222199,6942.256027692488,232303.17319056598,5579.489411073365,1086028.8502391805,617.2545868839757,-0.0,0.0,32813939.130000003,3267716.732683462,11156.793129198517,0.0,0.0,1086028.8502391805,617.2545868839757,0.0,0.0,91132709.73881882,151979.96469503792,0.0,0.0,0.0,0.0,0.0,0.0,-8298476.859292995,55852.05103081668,77294351.15040028,6684.133435,-0.0,0.0,204148.76436470798,21963.520181103093,-0.0,0.0,-0.0,0.0,69617167.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,117628.51365191613,4324.4189194163755,261268346.8577044,431266.0651236153,0.0,0.0,636015837.4376361,952320.5126433889,0.0,0.0,0.0,0.0,-10558771.651476154,61472.726531094115,0.0,0.0,732709107.4361949,65151.47159558407,10558771.651476154,61472.726531094115,1690110.2031614573,40723.6895443406,72417655.01804553,23355.01463924776,-0.0,0.0,505264563.0,317580582.85380465,677655.9764202654,0.0,0.0,72417655.01804553,23355.01463924776,0.0,0.0,22318488.85057499,47186.29877936318,0.0,0.0,3471620.8632578775,12038.530635999621,0.0,0.0,-770230.108131291,6310.424027437265,-818824.0325057523,449.4371877103903,49794704.710755795,4061.843017819307,770230.108131291,6310.424027437265,127341.98910092481,3450.139069672759,2615614.4447521707,979.2169865420778,109482.93698366033,866.2310210094944,32813939.130000003,4382343.210017782,17469.237780668896,2555688.801740497,546.5975638190051,2615614.4447521707,979.2169865420778,129979561.42713939,27865.10563804421,88685704.28692402,143948.45533139145,0.0,0.0,0.0,0.0,0.0,0.0,-4697484.32401529,49214.30539673976,60486992.786691464,6211.836282666667,-0.0,0.0,172925.17735953972,19098.997679575492,16838581.950713992,3066.814416999998,-0.0,0.0,69617167.0,59848.67018080429,859.3567504582797,0.0,0.0,16838581.950713992,3066.814416999998,0.0,0.0
0,160057.1147278517,37509.905952391906,227728072.80529606,390043.3224414515,0.0,0.0,713117851.1947368,1461807.0650200786,0.0,0.0,0.0,0.0,0.0,0.0,-7399893.905907867,32946.90758866559,765207027.5730993,67200.88140242035,-0.0,0.0,-0.0,0.0,48048029.04965623,15068.969723738948,1568900.13236114,27642.816942222224,505264563.0,416250294.2947874,908329.7912807057,24169433.56349474,4744.109949410174,48048029.04965623,15068.969723738948,7003214634.647432,2515336.439300232,8080435.095099383,21420.221404214295,5477595.6475366065,2400.5583456018076,13114941.521915402,32206.067403427573,0.0,0.0,0.0,0.0,-1231679.9073157806,6097.742114255084,52522620.20916909,4376.361287,-0.0,0.0,-0.0,0.0,752389.885792671,577.5633809999999,-0.0,0.0,32813939.130000003,7303175.951605416,16127.501913470567,3539310.078493583,671.1794747664153,752389.885792671,577.5633809999999,2088991003.9554794,557188.5654124022,79200943.39191133,138180.70957457772,0.0,0.0,0.0,0.0,0.0,0.0,-1575709.6247291425,34975.90250088906,64286560.7470941,6503.027977,-0.0,0.0,-0.0,0.0,13202681.364306819,3133.260688000002,9257.803364083293,1614.1519244444419,69617167.0,23185981.569746807,21168.210231046975,17144.08030385812,20.395882137345676,13202681.364306819,3133.260688000002,25499381.75036237,6517.289163333318
